Player Name,Position,Nationality,Date Of Birth,Height(cm),Weight(kg)
Daniel Iversen,Goalkeeper,Denmark,1997-07-19,191.0,
Callum Elder,Defender,Australia,1995-01-27,180.0,
Adam Leathers,Midfielder,England,2001-11-14,,
Will Russ,Forward,Wales,2002-08-11,,
Viktor Johansson,Goalkeeper,Sweden,1998-09-14,186.0,
Callum Wright,Midfielder,England,2000-02-05,,
Terell Pennant,Forward,England,2002-09-14,,
Layton Ndukwu,Forward,England,1998-07-09,177.0,
Calvin Bassey,Defender,Nigeria,1999-12-31,185.0,
Elliott Moore,Defender,England,1997-03-16,,
Simon Mignolet,Goalkeeper,Belgium,1988-06-03,193.0,
Alberto Moreno,Defender,Spain,1992-05-07,171.0,
Isaac Christie-Davies,Midfielder,Wales,1997-10-18,188.0,
Rafael Camacho,Midfielder,Portugal,2000-05-22,175.0,
Daniel Sturridge,Forward,England,1989-01-09,188.0,
Allan,Midfielder,Brazil,1997-03-03,175.0,
Lazar Markovic,Midfielder,Serbia,1994-02-03,175.0,
Ragnar Klavan,Defender,Estonia,1985-10-30,187.0,
Daniel Atherton,Goalkeeper,England,1999-12-18,,
George Johnston,Defender,Scotland,1998-01-09,181.0,
Paul Glatzel,Midfielder,England,2001-02-20,,
Ryan Kent,Midfielder,England,1996-11-11,172.0,
Bobby Duncan,Forward,England,2001-06-26,,
Ovie Ejaria,Midfielder,England,1997-11-18,183.0,
Pedro Chirivella,Midfielder,Spain,1997-05-23,178.0,
Herbie Kane,Midfielder,England,1998-11-23,177.0,
Daniel Grimshaw,Goalkeeper,England,1998-01-16,185.0,
Danilo,Defender,Brazil,1991-07-15,184.0,
Vincent Kompany,Defender,Belgium,1986-10-04,193.0,
Eliaquim Mangala,Defender,France,1991-02-13,188.0,
Philippe Sandler,Defender,Netherlands,1997-10-02,188.0,
Cameron Humphreys-Grant,Defender,England,1998-08-22,185.0,
Marlos Moreno,Forward,Colombia,1996-09-20,171.0,
Brahim Díaz,Forward,Spain,1999-03-08,171.0,
Jason Denayer,Defender,Belgium,1995-06-28,184.0,
Daniel Arzani,Midfielder,Australia,1999-04-01,171.0,
Patrick Roberts,Midfielder,England,1997-05-02,168.0,
Luke Bolton,Midfielder,England,1999-07-10,174.0,
Lukas Nmecha,Forward,Germany,1998-12-14,185.0,
Angeliño,Defender,Spain,1997-04-01,175.0,
Ben Knight,Midfielder,England,2002-06-14,,
Iker Pozo,Midfielder,Spain,2000-06-08,,
Aleix García,Midfielder,Spain,1997-06-28,173.0,
Nabili Zoubdi Touaizi,Forward,Morocco,2001-01-02,,
Gavin Bazunu,Goalkeeper,Ireland,2002-02-20,189.0,
Slobodan Tedic,Forward,Serbia,2000-04-13,190.0,
Antonio Valencia,Defender,Ecuador,1985-04-08,180.0,
Matteo Darmian,Defender,Italy,1989-02-12,182.0,
Ander Herrera,Midfielder,Spain,1989-08-14,182.0,
Angel Gomes,Midfielder,England,2000-08-31,161.0,
Joshua Bohui,Forward,England,1999-03-03,180.0,
Marouane Fellaini,Midfielder,Belgium,1987-11-22,194.0,
Ethan Hamilton,Midfielder,Scotland,1998-10-18,187.0,
Kieran O'Hara,Goalkeeper,Ireland,1996-04-22,191.0,
Joel Pereira,Goalkeeper,Portugal,1996-06-28,188.0,
Largie Ramazani,Forward,Belgium,2001-02-27,167.0,
Nathan Harker,Goalkeeper,England,1998-05-11,,
Freddie Woodman,Goalkeeper,England,1997-04-03,188.0,
Antonio Barreca,Defender,Italy,1995-03-18,180.0,
Ki Sung-Yeung,Midfielder,South,1989-01-24,189.0,
Mohamed Diamé,Midfielder,Senegal,1987-06-14,184.0,
Kelland Watts,Midfielder,England,1999-03-11,,
Joselu,Forward,Spain,1990-03-27,192.0,
Callum Roberts,Midfielder,England,1997-04-14,,
Jack Colback,Midfielder,England,1989-10-24,177.0,
Rolando Aarons,Midfielder,England,1995-11-16,178.0,
Achraf Lazaar,Defender,Morocco,1992-01-22,184.0,
Jamie Sterry,Defender,England,1995-11-21,180.0,
Owen Bailey,Midfielder,England,1999-01-22,,
Jetro Willems,Defender,Netherlands,1994-03-30,169.0,
Liam Gibson,Defender,England,1997-04-25,185.0,
Peter Keen,Goalkeeper,England,1976-11-16,183.0,
Aston Oxborough,Goalkeeper,England,1998-09-05,,
Ivo Pinto,Defender,Portugal,1990-07-01,182.0,
Timm Klose,Defender,Switzerland,1988-09-05,193.0,
Felix Passlack,Defender,Germany,1998-05-29,170.0,
Philip Heise,Defender,Germany,1991-06-20,184.0,
Timi Odusina,Defender,England,1999-10-28,,
Mario Vrancic,Midfielder,Bosnia,1989-05-23,187.0,
Moritz Leitner,Midfielder,Germany,1992-08-12,174.0,
Marco Stiepermann,Midfielder,Germany,1991-09-02,190.0,
Tom Trybull,Midfielder,Germany,1993-09-03,181.0,
Onel Hernández,Midfielder,Cuba,1993-01-02,172.0,
Alexander Tettey,Midfielder,Norway,1986-04-04,180.0,
Louis Thompson,Midfielder,Wales,1994-12-19,180.0,
Todd Cantwell,Midfielder,England,1998-02-27,177.0,
Alfie Payne,Midfielder,England,1999-07-10,,
Jordan Rhodes,Forward,Scotland,1990-05-02,185.0,
Dennis Srbeny,Forward,Germany,1994-05-05,189.0,
Marcel Franke,Defender,Germany,1993-05-04,193.0,
Sean Raggett,Defender,England,1993-04-17,181.0,
Josip Drmic,Forward,Switzerland,1992-08-08,183.0,
James Husband,Defender,England,1994-03-01,179.0,
Ben Marshall,Midfielder,England,1991-03-29,183.0,
Nélson Oliveira,Forward,Portugal,1991-08-08,186.0,
Yanic-Sonny Wildschut,Forward,Suriname,1991-01-11,187.0,
Ralf Fährmann,Goalkeeper,Germany,1988-09-27,197.0,
Ibrahim Amadou,Midfielder,France,1993-06-04,183.0,
Archie Mair,Goalkeeper,Scotland,2001-10-02,198.0,
Akin Famewo,Defender,England,1998-09-11,187.0,
Rocky Bushiri,Defender,Belgium,1999-11-30,186.0,
Ondrej Duda,Midfielder,Slovakia,1994-05-12,181.0,
Josh Martin,Midfielder,England,2001-09-09,,
Sam McCallum,Defender,England,2000-02-09,,
Melvin Sitti,Midfielder,France,2000-02-14,182.0,
Mason Bloomfield,Forward,England,1996-04-11,191.0,
Jordan Thomas,Defender,England,2001-02-01,,
Daniel Adshead,Midfielder,England,2001-02-09,167.0,
Jake Wright,Defender,England,1986-11-03,186.0,
Richard Stearman,Defender,England,1987-08-19,191.0,
Martin Cranie,Defender,England,1986-09-26,183.0,
Paul Coutts,Midfielder,Scotland,1988-07-22,183.0,
Mark Duffy,Midfielder,England,1985-07-10,175.0,
Marvin Johnson,Midfielder,England,1990-01-12,178.0,
Gary Madine,Forward,England,1990-08-24,193.0,
Conor Washington,Forward,Northern,1992-05-18,178.0,
Ben Heneghan,Defender,England,1993-09-19,191.0,
Daniel Lafferty,Defender,Northern,1989-05-18,180.0,
Nathan Thomas,Midfielder,England,1994-09-27,178.0,
Ricky Holmes,Midfielder,England,1987-06-19,173.0,
Samir Carruthers,Midfielder,Ireland,1993-04-04,173.0,
Tyler Smith,Forward,England,1998-04-12,178.0,
Caolan Lavery,Forward,Northern,1992-10-22,180.0,
Ched Evans,Forward,Wales,1988-12-28,183.0,
Ravel Morrison,Midfielder,Jamaica,1993-02-02,175.0,
David Parkhouse,Forward,Northern,1999-10-24,,
Panagiotis Retsos,Defender,Greece,1998-09-08,186.0,
Josh Sims,Midfielder,England,1997-03-28,174.0,
Tyreke Johnson,Midfielder,England,1998-03-11,185.0,
Callum Slattery,Midfielder,England,1999-08-02,175.0,
Sam Gallagher,Forward,England,1995-09-15,194.0,
Marcus Barnes,Forward,England,1996-01-12,185.0,
Manolo Gabbiadini,Forward,Italy,1991-11-26,181.0,
Steven Davis,Midfielder,Northern,1985-01-01,173.0,
Sam McQueen,Defender,England,1995-06-02,180.0,
Jake Flannigan,Midfielder,England,1996-02-02,180.0,
Jake Hesketh,Midfielder,England,1996-03-27,168.0,
Jordy Clasie,Midfielder,Netherlands,1991-06-27,169.0,
Jack Bycroft,Goalkeeper,England,2001-09-21,,
Oludare Olufunwa,Defender,England,2001-07-29,,
Thomas O'Connor,Defender,Ireland,1999-04-21,,
Aaron O'Driscoll,Defender,Ireland,1999-04-04,188.0,
Christoph Klarer,Midfielder,Austria,2000-06-14,191.0,
Kornelius Normann Hansen,Midfielder,Norway,2001-06-05,175.0,
Michael Stensgaard,Goalkeeper,Denmark,1974-01-09,188.0,
Timothy Eyoma,Defender,England,2000-01-29,183.0,
Victor Wanyama,Midfielder,Kenya,1991-06-25,188.0,
Luke Amos,Midfielder,England,1997-02-23,179.0,
Vincent Janssen,Forward,Netherlands,1994-06-15,180.0,
Fernando Llorente,Forward,Spain,1985-02-26,193.0,
Kazaiah Sterling,Forward,England,1998-09-11,175.0,
Georges-Kévin Nkoudou,Midfielder,France,1995-02-13,172.0,
Mousa Dembélé,Midfielder,Belgium,1987-07-16,185.0,
Jonathan De Bie,Goalkeeper,Belgium,2000-05-28,,
Anthony Georgiou,Midfielder,Cyprus,1997-02-24,179.0,
Jack Roles,Midfielder,Cyprus,1999-02-26,,
Heurelho Gomes,Goalkeeper,Brazil,1981-02-15,191.0,
Pontus Dahlberg,Goalkeeper,Sweden,1999-01-21,194.0,
Daryl Janmaat,Defender,Netherlands,1989-07-22,185.0,
Miguel Britos,Defender,Uruguay,1985-07-17,188.0,
Sebastian Prödl,Defender,Austria,1987-06-21,194.0,
Adrian Mariappa,Defender,Jamaica,1986-03-10,180.0,
Marc Navarro,Defender,Spain,1995-02-07,188.0,
José Holebas,Defender,Greece,1984-06-27,184.0,
Nathaniel Chalobah,Midfielder,England,1994-12-12,187.0,
Domingos Quina,Midfielder,Portugal,1999-11-18,179.0,
Etienne Capoue,Midfielder,France,1988-11-07,189.0,
Roberto Pereyra,Midfielder,Argentina,1991-07-01,182.0,
Gerard Deulofeu,Forward,Spain,1994-03-13,177.0,
Troy Deeney,Forward,England,1988-06-29,183.0,
Isaac Success,Forward,Nigeria,1996-07-01,186.0,
Adalberto Peñaranda,Forward,Venezuela,1997-05-31,185.0,
Andre Gray,Forward,Jamaica,1991-06-26,178.0,
Marvin Zeegelaar,Defender,Netherlands,1990-12-08,186.0,
Younes Kaboul,Defender,France,1986-04-01,193.0,
Dimitri Foulquier,Defender,Guadeloupe,1993-03-23,183.0,
Ben Wilmot,Defender,England,1999-04-11,188.0,
Dodi Lukébakio,Midfielder,Belgium,1997-09-24,187.0,
Stefano Okaka,Forward,Italy,1989-09-08,186.0,
Kane Crichlow,Midfielder,Bermuda,2000-08-21,,
Harry Forster,Midfielder,England,2000-11-05,,
Tom Dele-Bashiru,Midfielder,Nigeria,1999-09-17,183.0,
Sam Dalby,Forward,England,1999-07-12,,
Adam Parkes,Goalkeeper,England,1999-11-30,,
Mason Barrett,Defender,England,1999-09-24,,
Bayli Spencer-Adams,Defender,England,2001-06-26,,
Callum Whelan,Midfielder,England,1998-09-24,,
Joseph Hungbo,Midfielder,England,2000-01-15,,
Kaylen Hinds,Forward,England,1998-01-28,179.0,
Henry Wise,Midfielder,England,2000-01-01,174.0,
Jayden Bennetts,Midfielder,England,2001-06-26,,
Jamal Balogun,Defender,England,2000-01-18,,
Andi Janjeva,Defender,Kosovo,2002-11-10,,
Jerome Sinclair,Forward,England,1996-09-20,173.0,
Winston Reid,Defender,New,1988-03-07,190.0,
Pablo Zabaleta,Defender,Argentina,1985-01-16,176.0,
Pedro Obiang,Midfielder,Equatorial,1992-03-27,185.0,
Carlos Sánchez,Midfielder,Colombia,1986-06-02,182.0,
Samir Nasri,Midfielder,France,1987-06-26,175.0,
Marko Arnautovic,Forward,Austria,1989-04-19,192.0,
Chicharito,Forward,Mexico,1988-01-06,175.0,
Lucas Pérez,Forward,Spain,1988-10-09,180.0,
Reece Oxford,Defender,England,1998-12-16,193.0,
Joe Powell,Midfielder,England,1998-10-30,178.0,
Sead Haksabanovic,Midfielder,Montenegro,1999-04-05,173.0,
Edimilson Fernandes,Midfielder,Switzerland,1996-04-15,187.0,
Toni Martínez,Forward,Spain,1997-06-30,180.0,
Jordan Hugill,Forward,England,1992-04-06,183.0,
Daniel Kemp,Midfielder,England,1999-11-01,,
Elliot Watt,Midfielder,Scotland,2000-11-03,175.0,
Pote,Midfielder,Portugal,1998-06-28,173.0,
Niall Ennis,Forward,England,1999-05-20,180.0,
Joe Mason,Forward,England,1991-05-13,178.0,
Léo Bonatini,Forward,Brazil,1994-03-28,185.0,
Danny Batth,Defender,England,1990-09-21,191.0,
Benny Ashley-Seal,Forward,England,1998-11-21,,
Paul Gladon,Forward,Netherlands,1992-03-18,188.0,
Bright Enobakhare,Forward,Nigeria,1998-08-02,178.0,
Benik Afobe,Forward,DR,1993-12-02,183.0,
Roderick Miranda,Defender,Portugal,1991-03-30,191.0,
Rafa Mir,Forward,Spain,1997-06-18,191.0,
Dion Sanderson,Defender,England,1999-12-15,,
Ed Francis,Defender,England,1999-11-09,182.0,
Nathaniel Shio Hong Wan,Midfielder,England,2000-08-17,,
Jesús Vallejo,Defender,Spain,1997-05-01,184.0,
Renat Dadashov,Forward,Azerbaijan,1999-05-17,186.0,
Flávio Cristóvão,Defender,Portugal,1997-05-23,185.0,
Luke Matheson,Defender,England,2002-02-10,,
Dejan Iliev,Goalkeeper,North,1995-02-25,195.0,
Per Mertesacker,Defender,Germany,1984-09-29,198.0,
Jordi Osei-Tutu,Defender,England,1998-02-10,176.0,
Santi Cazorla,Midfielder,Spain,1984-12-13,168.0,
Vlad Dragomir,Midfielder,Romania,1999-04-24,178.0,
Charlie Gilmour,Midfielder,Scotland,1999-11-02,171.0,
Jeff Reine-Adélaïde,Midfielder,France,1998-01-17,183.0,
Chuba Akpom,Forward,England,1995-09-10,183.0,
Adam Federici,Goalkeeper,Australia,1985-01-31,188.0,
Brad Smith,Defender,Australia,1994-09-04,178.0,
Emerson Hyndman,Midfielder,United,1996-09-04,170.0,
Mikael Ndjoli,Forward,England,1998-12-16,183.0,
Rhoys Wiggins,Defender,Wales,1987-04-11,173.0,
Baily Cargill,Defender,England,1995-05-07,189.0,
Shaun Hobson,Defender,England,1998-06-29,,
Lewis Grabban,Forward,England,1988-12-01,183.0,
Ben Whitfield,Midfielder,England,1996-02-28,165.0,
Niki Mäenpää,Goalkeeper,Finland,1985-01-23,190.0,
Uwe Hünemeier,Defender,Germany,1986-09-01,189.0,
Connor Goldson,Defender,England,1992-12-18,191.0,
Liam Rosenior,Defender,England,1984-09-07,178.0,
Jiri Skalak,Midfielder,Czech,1992-12-03,177.0,
Steve Sidwell,Midfielder,England,1982-12-14,178.0,
Des Hutchinson,Midfielder,Ireland,1996-05-12,,
Sam Baldock,Forward,England,1989-03-15,170.0,
Rohan Ince,Midfielder,England,1992-08-11,191.0,
Richard Towell,Forward,Ireland,1991-07-17,173.0,
Dean Marney,Midfielder,England,1984-01-31,183.0,
Neil Etheridge,Goalkeeper,Philippines,1990-07-02,188.0,
Brian Murphy,Goalkeeper,Ireland,1983-07-05,183.0,
Joe Bennett,Defender,England,1990-03-28,183.0,
Sean Morrison,Defender,England,1991-08-01,193.0,
Bruno Ecuele Manga,Defender,Gabon,1988-07-16,186.0,
Jazz Richards,Defender,Wales,1991-12-04,185.0,
Sol Bamba,Defender,Cote,1985-01-13,190.0,
Gregory Halford,Defender,England,1984-08-12,193.0,
Matthew Connolly,Defender,England,1987-09-24,188.0,
Callum Paterson,Forward,Scotland,1994-10-13,183.0,
Armand Traore,Defender,Senegal,1989-08-10,185.0,
Cameron Coxe,Defender,Wales,1998-12-18,185.0,
Joe Ralls,Midfielder,England,1993-12-10,183.0,
Kadeem Harris,Midfielder,England,1993-08-06,175.0,
Liam Feeney,Midfielder,England,1986-04-28,183.0,
Anthony Pilkington,Midfielder,Ireland,1988-06-06,180.0,
Aron Gunnarsson,Midfielder,Iceland,1989-04-22,178.0,
Loïc Damour,Midfielder,France,1991-08-01,180.0,
Craig Bryson,Midfielder,Scotland,1986-06-11,170.0,
Jamie Ward,Midfielder,Northern,1986-12-05,165.0,
Mark Harris,Midfielder,Wales,1998-12-29,182.0,
Danny Ward,Forward,England,1991-11-12,178.0,
Nathaniel Mendez-Laing,Midfielder,England,1992-04-15,180.0,
Frédéric Gounongbe,Forward,Benin,1988-01-05,191.0,
Ibrahim Meite,Forward,England,1996-07-29,188.0,
Junior Hoilett,Midfielder,Canada,1990-05-06,173.0,
Allan McGregor,Goalkeeper,Scotland,1982-01-31,183.0,
Greg Cunningham,Defender,Ireland,1991-01-31,183.0,
Josh Murphy,Midfielder,England,1995-02-24,173.0,
Alex Smithies,Goalkeeper,England,1990-05-03,185.0,
Lee Camp,Goalkeeper,Northern,1984-08-22,183.0,
Declan John,Defender,Wales,1995-06-30,178.0,
Stuart O'Keefe,Midfielder,England,1991-04-03,173.0,
Matthew Kennedy,Midfielder,Northern,1994-01-11,175.0,
Rhys Healey,Forward,England,1994-06-12,180.0,
Ciaron Brown,Defender,Northern,1998-01-14,185.0,
Lloyd Humphries,Midfielder,Wales,1997-03-10,,
Leandro Bacuna,Midfielder,Curacao,1991-08-21,187.0,
Emiliano Sala,Forward,Argentina,1990-10-31,187.0,
Jack Bodenham,Defender,Wales,1999-09-29,,
Lee Tomlin,Forward,England,1989-12-01,180.0,
Omar Bogle,Forward,England,1992-07-26,187.0,
Thibaut Courtois,Goalkeeper,Belgium,1992-11-05,199.0,
Eduardo,Goalkeeper,Portugal,1982-09-19,187.0,
Kyle Scott,Midfielder,United,1997-12-22,172.0,
Eden Hazard,Forward,Belgium,1991-07-01,175.0,
Cristián Cuevas,Defender,Chile,1995-02-04,173.0,
Jérémie Boga,Midfielder,Cote,1997-03-01,172.0,
Charly Musonda,Midfielder,Belgium,1996-10-15,173.0,
Jared Thompson,Goalkeeper,Northern,1999-02-23,,
Bradley Collins,Goalkeeper,England,1997-02-18,184.0,
Diego Cavalieri,Goalkeeper,Brazil,1982-01-12,189.0,
Dion Henry,Goalkeeper,England,1997-12-09,180.0,
Damien Delaney,Defender,Ireland,1981-07-20,191.0,
Yohan Cabaye,Midfielder,France,1986-01-14,174.0,
Lee Chung-Yong,Midfielder,South,1988-02-07,180.0,
Jason Lokilo,Midfielder,DR,1998-09-17,175.0,
Erdal Rakip,Midfielder,North,1996-02-13,180.0,
Levi Lumeka,Forward,England,1998-05-09,170.0,
Joel Robles,Goalkeeper,Spain,1990-06-17,195.0,
Ashley Williams,Defender,Wales,1984-08-23,183.0,
Ramiro Mori,Defender,Argentina,1991-05-03,186.0,
Morgan Feeney,Defender,England,1999-08-02,190.0,
Michael Collins,Defender,England,2000-09-22,,
Davy Klaassen,Midfielder,Netherlands,1993-02-21,179.0,
Alex Denny,Midfielder,England,2000-12-04,186.0,
Fraser Hornby,Midfielder,Scotland,1999-09-13,195.0,
Shayne Lavery,Forward,Northern,1998-08-12,,
Stephen Duke-McKenna,Midfielder,Guyana,2000-08-17,,
Marcelo Djaló,Defender,Guinea-Bissau,1993-08-10,193.0,
Tayo Edun,Midfielder,England,1998-05-14,170.0,
Ibrahima Cissé,Midfielder,Guinea,1994-02-28,184.0,
Rui Fonte,Forward,Portugal,1990-04-23,179.0,
Floyd Ayité,Forward,Togo,1988-12-15,175.0,
Mattias Käit,Midfielder,Estonia,1998-06-29,186.0,
Cauley Woodrow,Forward,England,1994-02-12,184.0,
Marlon Fossey,Defender,United,1998-09-09,180.0,
Moritz Jenz,Defender,Germany,1999-04-30,190.0,
Jon Thorsteinsson,Midfielder,Iceland,1998-11-26,177.0,
Taye Ashby-Hammond,Goalkeeper,England,1999-03-21,186.0,
André Schürrle,Midfielder,Germany,1990-06-11,184.0,
Sergio Rico,Goalkeeper,Spain,1993-01-09,195.0,
Luciano Vietto,Forward,Argentina,1993-05-12,174.0,
Ryan Babel,Midfielder,Netherlands,1986-12-19,185.0,
Håvard Nordtveit,Defender,Norway,1990-06-21,188.0,
Joel Coleman,Goalkeeper,England,1995-09-26,198.0,
Tommy Smith,Defender,England,1992-04-14,186.0,
Scott Malone,Defender,England,1991-03-25,189.0,
Chris Löwe,Defender,Germany,1989-04-16,175.0,
Christopher Schindler,Defender,Germany,1990-04-29,188.0,
Jon Stankovic,Defender,Slovenia,1996-01-14,190.0,
Florent Hadergjonaj,Defender,Kosovo,1994-07-31,182.0,
Jordan Williams,Defender,England,1999-10-22,179.0,
Michael Hefele,Defender,Germany,1990-01-09,192.0,
Dean Whitehead,Midfielder,England,1982-12-01,180.0,
Jonathan Hogg,Midfielder,England,1988-06-12,170.0,
Sean Scannell,Midfielder,Ireland,1990-09-17,176.0,
Abdelhamid Sabiri,Midfielder,Germany,1996-11-28,186.0,
Rajiv van La Parra,Midfielder,Netherlands,1991-04-06,181.0,
Danny Williams,Midfielder,United,1989-08-03,182.0,
Alex Pritchard,Midfielder,England,1993-03-05,171.0,
Tom Ince,Midfielder,England,1992-01-30,178.0,
Lewis O'Brien,Midfielder,England,1998-10-14,173.0,
Elias Kachunga,Forward,DR,1992-04-22,178.0,
Laurent Depoitre,Forward,Belgium,1988-07-12,191.0,
Collin Quaner,Forward,Germany,1991-06-18,191.0,
Steve Mounié,Forward,Benin,1994-09-29,190.0,
Ramadan Sobhi,Midfielder,Egypt,1997-01-23,189.0,
Ben Hamer,Goalkeeper,England,1987-11-20,192.0,
Juninho Bacuna,Midfielder,Curacao,1997-07-08,178.0,
Tareiq Holmes-Dennis,Defender,England,1995-10-31,175.0,
Jack Payne,Midfielder,England,1994-10-25,165.0,
Jordy Hiwula-Mayifuila,Forward,England,1994-09-21,178.0,
Ryan Schofield,Goalkeeper,England,1999-11-12,190.0,
Erik Durm,Defender,Germany,1992-12-05,182.0,
Adama Diakhaby,Forward,France,1996-05-07,184.0,
Rarmani Edmonds-Green,Defender,England,1999-01-14,,
Samuel Sharrock-Peplow,Midfielder,England,2002-07-14,,
Isaac Mbenza,Midfielder,Belgium,1996-08-03,187.0,
Demeaco Duhaney,Defender,England,1998-10-13,180.0,
Matty Daly,Midfielder,England,2001-10-03,,
Aaron Rowe,Midfielder,England,2000-07-09,,
Ben Jackson,Defender,England,2001-02-22,,
Robert Huth,Defender,Germany,1984-08-18,191.0,
Aleksandar Dragovic,Defender,Austria,1991-06-03,186.0,
Sam Hughes,Defender,England,1997-04-15,,
Ahmed Musa,Forward,Nigeria,1992-10-14,171.0,
Josh Gordon,Forward,England,1994-10-10,178.0,
Connor Barrett,Midfielder,England,2002-01-03,,
Ádám Bogdán,Goalkeeper,Hungary,1987-09-27,193.0,
Conor Masterson,Defender,Ireland,1998-08-09,,
Emre Can,Midfielder,Germany,1994-12-01,186.0,
Paulo Alves,Midfielder,Portugal,1997-12-25,176.0,
Jon Flanagan,Defender,England,1993-01-01,181.0,
Pablo Maffeo,Defender,Spain,1997-12-07,172.0,
Yaya Touré,Midfielder,Cote,1983-05-13,188.0,
Olarenwaju Kayode,Forward,Nigeria,1993-08-05,176.0,
Tyreke Wilson,Defender,Ireland,1999-02-12,,
Nathanael Ogbeta,Defender,England,2001-04-28,,
Benjamín Garré,Midfielder,Argentina,2000-11-07,172.0,
Rabbi Matondo,Forward,Wales,2000-09-09,175.0,
Daley Blind,Defender,Netherlands,1990-09-03,180.0,
Michael Carrick,Midfielder,England,1981-07-28,188.0,
Demetri Mitchell,Defender,England,1997-11-01,181.0,
Ro-Shaun Williams,Defender,England,1998-03-09,188.0,
Chancel Mbemba,Defender,DR,1994-08-08,182.0,
Massadio Haïdara,Defender,Mali,1992-02-12,179.0,
Jesús Gámez,Defender,Spain,1985-10-04,177.0,
Mikel Merino,Midfielder,Spain,1996-06-22,188.0,
Matz Sels,Goalkeeper,Belgium,1992-02-26,191.0,
Stuart Taylor,Goalkeeper,England,1980-11-28,198.0,
Jérémy Pied,Defender,France,1989-02-23,174.0,
Dusan Tadic,Midfielder,Serbia,1988-11-20,181.0,
Alfie Jones,Defender,England,1997-07-10,191.0,
Tashan Oakley-Boothe,Midfielder,England,2000-02-14,182.0,
Anton Walkes,Defender,England,1997-08-02,187.0,
Jonathan Dinzeyi,Defender,England,1999-10-13,,
Shilow Tracey,Midfielder,England,1998-04-29,179.0,
Orestis Karnezis,Goalkeeper,Greece,1985-11-07,189.0,
Joy Mukena,Defender,England,1999-03-07,,
Didier Ndong,Midfielder,Gabon,1994-06-17,179.0,
André Carrillo,Midfielder,Peru,1991-06-14,182.0,
Costel Pantilimon,Goalkeeper,Romania,1987-01-02,203.0,
Brice Dja Djédjé,Defender,Cote,1990-12-23,170.0,
Brandon Mason,Defender,England,1997-09-30,173.0,
Mauro Zárate,Forward,Argentina,1987-03-18,176.0,
Michael Folivi,Forward,England,1998-02-25,180.0,
James Collins,Defender,Wales,1983-08-23,188.0,
Patrice Evra,Defender,France,1981-05-15,174.0,
Josh Pask,Defender,England,1997-01-11,187.0,
Vashon Neufville,Defender,England,1999-07-18,173.0,
João Mário,Midfielder,Portugal,1993-01-19,179.0,
Reece Burke,Defender,England,1996-02-09,189.0,
Martin Samuelsen,Midfielder,Norway,1997-04-17,189.0,
Moses Makasi,Midfielder,England,1995-09-22,,
Carl Ikeme,Goalkeeper,Nigeria,1986-08-06,188.0,
Harry Burgoyne,Goalkeeper,England,1996-12-28,195.0,
Phil Ofosu-Ayeh,Defender,Ghana,1991-09-15,181.0,
Alfred N'Diaye,Midfielder,Senegal,1990-06-03,193.0,
Jordan Graham,Midfielder,England,1995-05-03,182.0,
Sylvain Deslandes,Defender,France,1997-04-25,178.0,
Connor Johnson,Defender,England,1998-10-03,,
Ben Stevenson,Midfielder,England,1997-03-23,183.0,
Connor Ronan,Midfielder,Ireland,1998-06-03,178.0,
Daniel Armstrong,Midfielder,Scotland,1997-11-10,175.0,
Michal Zyro,Forward,Poland,1992-09-20,187.0,
Donovan Wilson,Forward,England,1997-03-14,180.0,
Prince Alban Oniangué,Midfielder,Congo,1988-04-11,190.0,
Cameron John,Defender,England,1999-08-24,,
Pedro Pereira,Midfielder,Portugal,1998-06-28,173.0,
Ethan Ebanks-Landell,Defender,England,1992-12-16,188.0,
